Year,Alcohol,PM25,Tob_Both,Tob_Male,Tob_Female,Cig_Both,Cig_Male,Cig_Female,NCD_Both,NCD_Male,NCD_Female,LE_Both,LE_Male,LE_Female,LE_OLS_Both,LE_OLS_Male,LE_OLS_Female,LE_Ridge_Both,LE_Ridge_Male,LE_Ridge_Female
2040,2.2571649895799997,18.2590787211,15.879000000000001,31.157600000000006,1.9592,7.220599999999999,15.120600000000001,0.1,10.981000000000002,13.745999999999999,8.532000000000002,79.64597927685114,79.99975440436067,81.63978767854097,76.95539800773001,76.23325297455442,80.28419251419156,79.64597927685114,79.99975440436067,81.63978767854097
2041,2.23091888505,18.04676385225,15.577500000000002,30.566000000000006,1.922,7.083499999999999,14.8335,0.1,10.7725,13.485,8.370000000000001,79.74641878513103,80.28848492370572,81.72129263084142,76.91247512130043,76.31008461208442,80.3136327906805,79.74641878513103,80.28848492370572,81.72129263084142
2042,2.2046727805199997,17.834448983399998,15.276000000000002,29.974400000000003,1.8848,6.946399999999999,14.5464,0.1,10.564,13.223999999999998,8.208,79.8468582934109,80.5772154430508,81.80279758314188,76.86955223487082,76.38691624961447,80.34307306716946,79.8468582934109,80.5772154430508,81.80279758314188
2043,2.17842667599,17.622134114549997,14.9745,29.382800000000003,1.8476,6.8092999999999995,14.2593,0.1,10.355500000000001,12.963,8.046000000000001,79.94729780169078,80.86594596239587,81.8843025354423,76.82662934844122,76.46374788714449,80.3725133436584,79.94729780169078,80.86594596239587,81.8843025354423
2044,2.15218057146,17.4098192457,14.673,28.791200000000003,1.8104,6.672199999999999,13.9722,0.1,10.147,12.701999999999998,7.884,80.04773730997066,81.1546764817409,81.96580748774277,76.78370646201162,76.54057952467451,80.40195362014737,80.04773730997066,81.1546764817409,81.96580748774277
2045,2.12593446693,17.19750437685,14.371500000000003,28.199600000000007,1.7732,6.5351,13.685100000000002,0.1,9.938500000000001,12.441,7.722000000000001,80.14817681825053,81.44340700108599,82.0473124400432,76.74078357558201,76.61741116220453,80.43139389663631,80.14817681825053,81.44340700108599,82.0473124400432
2046,2.0996883624,16.985189508,14.07,27.608,1.736,6.397999999999999,13.398,0.1,9.73,12.179999999999998,7.56,80.24861632653041,81.73213752043105,82.12881739234365,76.6978606891524,76.69424279973455,80.46083417312528,80.24861632653041,81.73213752043105,82.12881739234365
2047,2.07344225787,16.77287463915,13.768500000000001,27.016400000000004,1.6988,6.2608999999999995,13.1109,0.1,9.521500000000001,11.919,7.3980000000000015,80.34905583481029,82.02086803977612,82.2103223446441,76.65493780272283,76.77107443726459,80.49027444961423,80.34905583481029,82.02086803977612,82.2103223446441
2048,2.04719615334,16.5605597703,13.467000000000002,26.424800000000005,1.6616000000000002,6.123799999999999,12.8238,0.1,9.313,11.658,7.236000000000001,80.44949534309016,82.30959855912118,82.29182729694455,76.61201491629322,76.84790607479461,80.51971472610317,80.44949534309016,82.30959855912118,82.29182729694455
2049,2.02095004881,16.34824490145,13.165500000000002,25.833200000000005,1.6244,5.986699999999999,12.536700000000002,0.1,9.1045,11.397,7.074000000000001,80.54993485137007,82.59832907846626,82.373332249245,76.56909202986361,76.92473771232464,80.54915500259213,80.54993485137007,82.59832907846626,82.373332249245
2050,1.9947039442799999,16.1359300326,12.864,25.241600000000005,1.5872,5.8496,12.249600000000001,0.1,8.896,11.136,6.912000000000001,80.65037435964993,82.88705959781133,82.45483720154543,76.52616914343402,77.00156934985465,80.57859527908109,80.65037435964993,82.88705959781133,82.45483720154543
