Year,Alcohol,PM25,Tob_Both,Tob_Male,Tob_Female,Cig_Both,Cig_Male,Cig_Female,NCD_Both,NCD_Male,NCD_Female,LE_Both,LE_Male,LE_Female,LE_OLS_Both,LE_OLS_Male,LE_OLS_Female,LE_Ridge_Both,LE_Ridge_Male,LE_Ridge_Female
2036,2.8870714983,24.416209917749995,21.105000000000004,41.412000000000006,2.604,9.597,20.097,0.084,14.595,18.27,11.340000000000002,77.42812892338458,74.36604818023497,80.0636598353641,77.3218410090893,74.26112756769597,79.80127959744853,77.42812892338458,74.36604818023497,80.0636598353641
2037,2.9133176028300003,24.734682221025,21.2055,41.6092,2.6163999999999996,9.642699999999998,20.1927,0.0844,14.6645,18.356999999999996,11.394,77.34695919962977,74.2069002849055,80.02015398426704,77.29839326822379,74.17147931955213,79.79420469285876,77.34695919962977,74.2069002849055,80.02015398426704
2038,2.93956370736,25.0531545243,21.306,41.80640000000001,2.6288,9.6884,20.288400000000003,0.0848,14.734000000000002,18.444,11.448000000000002,77.26578947587494,74.04775238957603,79.97664813316997,77.27494552735827,74.08183107140833,79.78712978826898,77.26578947587494,74.04775238957603,79.97664813316997
2039,2.9658098118899994,25.371626827575,21.4065,42.003600000000006,2.6412,9.734099999999998,20.3841,0.0852,14.8035,18.531,11.502,77.1846197521201,73.88860449424655,79.93314228207292,77.25149778649275,73.9921828232645,79.7800548836792,77.1846197521201,73.88860449424655,79.93314228207292
2040,2.99205591642,25.690099130849998,21.507,42.20080000000001,2.6536,9.7798,20.4798,0.08560000000000001,14.873000000000001,18.618,11.556000000000001,77.1034500283653,73.72945659891708,79.88963643097586,77.22805004562724,73.90253457512071,79.77297997908944,77.1034500283653,73.72945659891708,79.88963643097586
2041,3.0183020209499998,26.008571434125,21.6075,42.398,2.666,9.825499999999998,20.575499999999998,0.086,14.942499999999999,18.705,11.61,77.02228030461046,73.5703087035876,79.8461305798788,77.20460230476172,73.8128863269769,79.76590507449967,77.02228030461046,73.5703087035876,79.8461305798788
2042,3.0445481254799995,26.327043737399997,21.708000000000002,42.595200000000006,2.6784000000000003,9.8712,20.671200000000002,0.0864,15.012000000000002,18.791999999999998,11.664000000000001,76.94111058085564,73.41116080825815,79.80262472878174,77.18115456389623,73.72323807883306,79.75883016990991,76.94111058085564,73.41116080825815,79.80262472878174
2043,3.0707942300099997,26.645516040674995,21.808500000000002,42.7924,2.6908,9.916899999999998,20.7669,0.0868,15.0815,18.878999999999998,11.718,76.85994085710081,73.25201291292865,79.75911887768467,77.15770682303071,73.63358983068926,79.75175526532016,76.85994085710081,73.25201291292865,79.75911887768467
2044,3.0970403345399995,26.96398834395,21.909000000000002,42.98960000000001,2.7032000000000003,9.9626,20.8626,0.08720000000000001,15.151000000000002,18.966,11.772000000000002,76.77877113334598,73.09286501759917,79.7156130265876,77.13425908216519,73.54394158254546,79.7446803607304,76.77877113334598,73.09286501759917,79.7156130265876
2045,3.1232864390699997,27.282460647224998,22.009500000000003,43.186800000000005,2.7156,10.008299999999998,20.9583,0.0876,15.2205,19.052999999999997,11.826,76.69760140959116,72.9337171222697,79.67210717549055,77.11081134129967,73.45429333440163,79.73760545614061,76.69760140959116,72.9337171222697,79.67210717549055
2046,3.1495325436,27.6009329505,22.110000000000003,43.38400000000001,2.728,10.054,21.054000000000002,0.08800000000000001,15.290000000000001,19.14,11.880000000000003,76.61643168583633,72.77456922694023,79.6286013243935,77.08736360043417,73.36464508625782,79.73053055155084,76.61643168583633,72.77456922694023,79.6286013243935
2047,3.1757786481299997,27.919405253774997,22.2105,43.5812,2.7403999999999997,10.099699999999999,21.1497,0.0884,15.3595,19.226999999999997,11.934000000000001,76.53526196208152,72.61542133161076,79.58509547329642,77.06391585956864,73.27499683811403,79.72345564696109,76.53526196208152,72.61542133161076,79.58509547329642
2048,3.20202475266,28.237877557050002,22.311000000000003,43.77840000000001,2.7528,10.1454,21.245400000000004,0.0888,15.429000000000002,19.314,11.988000000000001,76.45409223832667,72.45627343628128,79.54158962219935,77.04046811870313,73.1853485899702,79.71638074237133,76.45409223832667,72.45627343628128,79.54158962219935
2049,3.2282708571899996,28.556349860325,22.4115,43.97560000000001,2.7652,10.191099999999999,21.3411,0.0892,15.4985,19.401,12.042,76.37292251457185,72.29712554095178,79.49808377110232,77.0170203778376,73.09570034182639,79.70930583778154,76.37292251457185,72.29712554095178,79.49808377110232
2050,3.25451696172,28.874822163599998,22.512000000000004,44.17280000000001,2.7776,10.236799999999999,21.4368,0.08960000000000001,15.568000000000001,19.488,12.096000000000002,76.29175279081703,72.13797764562231,79.45457792000525,76.99357263697209,73.00605209368258,79.70223093319177,76.29175279081703,72.13797764562231,79.45457792000525
