GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1998,1998,1998,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,23.258564746,23.3 [19.1-27.6],19.13268683,27.646786358
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,2020,2020,2020,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_FMLE,Female,5.285799429,5.3 [5.0-5.6],4.985351428,5.614337289
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2004,2004,2004,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,3486.0,3486 [3389-3587],3389.0,3587.0
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,1996,1996,1996,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_FMLE,Female,1271.0,1271 [1191-1355],1191.0,1355.0
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2014,2014,2014,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_FMLE,Female,1.129969778,1.1 [1.0-1.2],1.030688966,1.234443515
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2012,2012,2012,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,273.3302,273.3,,
MORT_MATERNALNUM,Number of maternal deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-maternal-deaths,2012,2012,2012,SEAR,South-East Asia,LKA,Sri Lanka,,,,88.25012121,88 [77-101],76.91210004,101.0172294
MORT_MATERNALNUM,Number of maternal deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-maternal-deaths,1995,1995,1995,SEAR,South-East Asia,LKA,Sri Lanka,,,,166.6960597,167 [144-198],143.616005,198.1457707
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2008,2008,2008,SEAR,South-East Asia,LKA,Sri Lanka,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,1.0603,1.1,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1997,1997,1997,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_FMLE,Female,17.183536931,17.2 [16.8-17.6],16.813725983,17.558016138
CM_02,Number of infant deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-infant-deaths,1983,1983,1983,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_FMLE,Female,4556.0,4556 [4458-4652],4458.0,4652.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2003,2003,2003,SEAR,South-East Asia,LKA,Sri Lanka,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.0,0,,
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/neonatal-mortality-rate-%28per-1000-live-births%29,1976,1976,1976,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,25.474250162,25.5 [24.0-27.0],24.043147816,26.963542319
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2006,2006,2006,SEAR,South-East Asia,LKA,Sri Lanka,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.02781,0,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2013,2013,2013,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,36.815270522,37,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2001,2001,2001,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,80.11244,80.1,,
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2022,2022,2022,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,1.576748253,1.6 [1.1-2.1],1.124894521,2.076835301
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-hale-healthy-life-expectancy-at-birth,2011,2011,2011,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_FMLE,Female,67.42096398,67.4 [66.6-68.4],66.58529821,68.41317844
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,2000,2000,2000,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,13.023388035,13.0 [12.8-13.3],12.779756558,13.265893759
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-among-children-ages-5-to-9-years-%28per-1000-children-aged-5%29,2011,2011,2011,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_FMLE,Female,1.363718482,1.4 [1.3-1.4],1.305607343,1.42384627
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2010,2010,2010,SEAR,South-East Asia,LKA,Sri Lanka,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,2.2587,2.3,,
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2010,2010,2010,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,1693.0,1693 [1659-1728],1659.0,1728.0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1979,1979,1979,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_MLE,Male,52.741646656,52.7 [51.3-54.3],51.270846496,54.25737625
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2021,2021,2021,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,186.75962,186.8,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2017,2017,2017,SEAR,South-East Asia,LKA,Sri Lanka,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.0,0,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2001,2001,2001,SEAR,South-East Asia,LKA,Sri Lanka,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.14869,0.1,,
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2009,2009,2009,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,1442.0,1442 [1213-1697],1213.0,1697.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2011,2011,2011,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,50.54364914,51,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2017,2017,2017,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,7.912064868,7.9 [7.7-8.2],7.663237013,8.169741131
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2021,2021,2021,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,321.39744,321.4,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2015,2015,2015,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,6.121321276,6.1 [4.5-8.1],4.525173717,8.073842089
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2016,2016,2016,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_MLE,Male,680.0,680 [622-739],622.0,739.0
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-hale-healthy-life-expectancy-at-age-60,2000,2000,2000,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,14.3889657,14.4 [13.9-15.1],13.88280104,15.06816774
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1984,1984,1984,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,12674.0,12 674 [12 439-12 924],12439.0,12924.0
WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/life-expectancy-at-age-60-%28years%29,2007,2007,2007,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_FMLE,Female,21.69538708,21.7 [21.7-21.8],21.67688252,21.77546535
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,1995,1995,1995,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_FMLE,Female,2.256414992,2.3 [2.1-2.4],2.141401202,2.373905947
MH_12,Age-standardized suicide rates (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/age-standardized-suicide-rates-%28per-100-000-population%29,2002,2002,2002,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_MLE,Male,51.44745339,51.4 [43.1-60.2],43.09017669,60.20659978
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-children-ages-5-to-14-years,2019,2019,2019,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,563.0,563 [470-676],470.0,676.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2015,2015,2015,SEAR,South-East Asia,LKA,Sri Lanka,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.00613,0,,
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-for-5-14-year-olds-%28probability-of-dying-per-1000-children-aged-5-14-years%29,2015,2015,2015,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,2.115047842,2.1 [2.0-2.2],1.994366717,2.243009459
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2023,2023,2023,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,398.0,398 [334-468],334.0,468.0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2012,2012,2012,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,13.592740135,13.6 [11.1-16.1],11.148825493,16.113124625
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2002,2002,2002,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,450.663345003,451,,
CM_03,Number of neonatal deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-neonatal-deaths,2017,2017,2017,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,1719.0,1719 [1641-1800],1641.0,1800.0
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1966,1966,1966,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_MLE,Male,15045.0,15 045 [14 748-15 346],14748.0,15346.0
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-among-children-ages-5-to-9-years-%28per-1000-children-aged-5%29,2004,2004,2004,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_FMLE,Female,11.635612533,11.6 [11.2-12.1],11.156867303,12.12907944
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2006,2006,2006,SEAR,South-East Asia,LKA,Sri Lanka,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.0,0,,
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2018,2018,2018,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_MLE,Male,3.433230766,3.4 [3.0-4.0],2.956476404,3.962698408
NCD_UNDER70,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ncd-deaths-under-age-70-%28percent-of-all-ncd-deaths%29,2009,2009,2009,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,44.075214386,44,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2009,2009,2009,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,0.0,0.0,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-attributed-to-unintentional-poisoning-%28per-100-000-population%29,2000,2000,2000,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_FMLE,Female,0.198754963,0.2 [0.1-0.3],0.111823848,0.293427026
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-for-5-14-year-olds-%28probability-of-dying-per-1000-children-aged-5-14-years%29,2006,2006,2006,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,3.53589559,3.5 [3.4-3.6],3.447306821,3.625213152
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1999,1999,1999,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,14.609214594,14.6 [12.2-17.2],12.237435529,17.160592033
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2011,2011,2011,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_FMLE,Female,3.227748405,3.2 [3.1-3.4],3.074459688,3.389311395
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2008,2008,2008,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,342.622359305,343,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-hale-healthy-life-expectancy-at-birth,2003,2003,2003,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,63.93344308,63.9 [63.3-64.6],63.30009295,64.64317913
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,1993,1993,1993,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,3318.0,3318 [3253-3383],3253.0,3383.0
CM_04,Number of deaths among children ages 5 to 9 years,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-children-ages-5-to-9-years,1998,1998,1998,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_FMLE,Female,403.0,403 [390-416],390.0,416.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2006,2006,2006,SEAR,South-East Asia,LKA,Sri Lanka,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.37412,0.4,,
WHOSIS_000014,Stillbirth rate (per 1000 total births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/stillbirth-rate-%28per-1000-total-births%29,2008,2008,2008,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,7.985201956,8.0 [6.7-9.5],6.687113834,9.547201387
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2000,2000,2000,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,6.212768098,6.2 [6.1-6.3],6.090859403,6.333449151
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,1996,1996,1996,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_FMLE,Female,396.0,396 [376-416],376.0,416.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2007,2007,2007,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,0.20195,0.2,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2013,2013,2013,SEAR,South-East Asia,LKA,Sri Lanka,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.00826,0,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2007,2007,2007,SEAR,South-East Asia,LKA,Sri Lanka,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.00055,0,,
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,1997,1997,1997,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,876.0,876 [841-912],841.0,912.0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2006,2006,2006,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_FMLE,Female,12.140706141,12.1 [11.9-12.4],11.852931843,12.441892443
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2000,2000,2000,SEAR,South-East Asia,LKA,Sri Lanka,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.01707,0,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2015,2015,2015,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,680.15406,680.2,,
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2003,2003,2003,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_FMLE,Female,621.0,621 [593-650],593.0,650.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2013,2013,2013,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,0.0,0,,
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/neonatal-mortality-rate-%28per-1000-live-births%29,2004,2004,2004,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,7.954683114,8.0 [7.7-8.3],7.65763934,8.254205567
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2015,2015,2015,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_FMLE,Female,2.483316515,2.5 [2.3-2.7],2.27998183,2.700572979
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2008,2008,2008,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,614.38462,614.4,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2002,2002,2002,SEAR,South-East Asia,LKA,Sri Lanka,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.0,0,,
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-attributed-to-unintentional-poisoning-%28per-100-000-population%29,2001,2001,2001,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_MLE,Male,0.705450958,0.7 [0.5-1.0],0.45820075,0.972536224
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2015,2015,2015,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,1.66584,1.7,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2014,2014,2014,SEAR,South-East Asia,LKA,Sri Lanka,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,2.7454,2.7,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2007,2007,2007,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,175.448345321,175,,
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2011,2011,2011,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,3894.0,3894 [3815-3974],3815.0,3974.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2008,2008,2008,SEAR,South-East Asia,LKA,Sri Lanka,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.0,0,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2011,2011,2011,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,0.0,0.0,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2002,2002,2002,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,32.17014,32.2,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/crude-suicide-rates-%28per-100-000-population%29,2004,2004,2004,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_FMLE,Female,10.16349432,10.2 [8.1-12.3],8.067222707,12.34562021
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2009,2009,2009,SEAR,South-East Asia,LKA,Sri Lanka,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.04485,0,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1971,1971,1971,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_FMLE,Female,65.973920004,66.0 [62.9-69.2],62.937781222,69.222904305
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2005,2005,2005,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_FMLE,Female,4.520665237,4.5 [4.2-4.8],4.226075227,4.820367751
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1998,1998,1998,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,1558.0,1558 [1281-1851],1281.0,1851.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2007,2007,2007,SEAR,South-East Asia,LKA,Sri Lanka,SEX,SEX_BTSX,Both sexes,2.608,2.6,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2000,2000,2000,SEAR,South-East Asia,LKA,Sri Lanka,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.22356,0.2,,
