Year,Alcohol,PM25,Tob_Both,Tob_Male,Tob_Female,Cig_Both,Cig_Male,Cig_Female,LE_Both,LE_Male,LE_Female
2022,2.66246706202,19.832548935185,21.35625,41.25524999999999,3.2159999999999997,9.647999999999998,20.049749999999996,0.10049999999999999,78.76582435544537,75.88637120166155,81.40410969568019
2023,2.68882812204,20.125640791370003,21.4625,41.460499999999996,3.232,9.696,20.1495,0.101,78.63671552792002,75.68014213734817,81.33263951761249
2024,2.71518918206,20.418732647555,21.568749999999998,41.665749999999996,3.2479999999999998,9.743999999999998,20.249249999999996,0.10149999999999999,78.50760670039463,75.47391307303482,81.2611693395448
2025,2.74155024208,20.711824503740004,21.675,41.870999999999995,3.2640000000000002,9.792,20.349,0.10200000000000001,78.37849787286925,75.26768400872149,81.18969916147708
2026,2.7679113021,21.004916359925,21.781249999999996,42.076249999999995,3.28,9.839999999999998,20.448749999999997,0.1025,78.24938904534388,75.06145494440813,81.11822898340938
2027,2.79427236212,21.298008216110002,21.8875,42.2815,3.2960000000000003,9.888,20.5485,0.10300000000000001,78.12028021781849,74.85522588009478,81.04675880534168
2028,2.8206334221400002,21.591100072295003,21.99375,42.486749999999994,3.312,9.935999999999998,20.648249999999997,0.1035,77.9911713902931,74.64899681578142,80.97528862727398
2029,2.8469944821600004,21.884191928480003,22.1,42.692,3.3280000000000003,9.984,20.748,0.10400000000000001,77.86206256276772,74.44276775146805,80.90381844920627
2030,2.87335554218,22.177283784665,22.206249999999997,42.89724999999999,3.344,10.031999999999998,20.847749999999998,0.1045,77.73295373524235,74.23653868715472,80.83234827113857
2031,2.8997166022000003,22.47037564085,22.3125,43.1025,3.3600000000000003,10.08,20.9475,0.10500000000000001,77.60384490771696,74.03030962284134,80.76087809307087
2032,2.9260776622200004,22.763467497035002,22.41875,43.30774999999999,3.376,10.127999999999998,21.04725,0.1055,77.47473608019158,73.82408055852801,80.68940791500317
2033,2.95243872224,23.05655935322,22.525000000000002,43.513,3.3920000000000003,10.176,21.147000000000002,0.10600000000000001,77.3456272526662,73.61785149421465,80.61793773693546
2034,2.97879978226,23.349651209405003,22.631249999999998,43.71825,3.408,10.223999999999998,21.24675,0.1065,77.21651842514082,73.41162242990129,80.54646755886777
2035,3.0051608422800005,23.64274306559,22.7375,43.9235,3.4240000000000004,10.272,21.3465,0.10700000000000001,77.08740959761543,73.20539336558794,80.47499738080008
2036,3.0315219022999997,23.935834921775005,22.84375,44.12875,3.44,10.319999999999999,21.44625,0.1075,76.95830077009005,72.99916430127458,80.40352720273238
2037,3.05788296232,24.22892677796,22.950000000000003,44.334,3.4560000000000004,10.368,21.546,0.10800000000000001,76.82919194256468,72.79293523696121,80.33205702466466
2038,3.0842440223399996,24.522018634145,23.05625,44.539249999999996,3.472,10.415999999999999,21.64575,0.1085,76.70008311503929,72.58670617264788,80.26058684659698
2039,3.1106050823599998,24.815110490330003,23.1625,44.7445,3.4880000000000004,10.464,21.7455,0.10900000000000001,76.5709742875139,72.38047710833452,80.18911666852928
2040,3.13696614238,25.108202346515,23.26875,44.949749999999995,3.504,10.511999999999999,21.84525,0.1095,76.44186545998853,72.17424804402117,80.11764649046158
2041,3.1633272024,25.401294202700004,23.375000000000004,45.155,3.5200000000000005,10.56,21.945,0.11000000000000001,76.31275663246313,71.96801897970782,80.04617631239387
2042,3.18968826242,25.694386058885,23.48125,45.36024999999999,3.536,10.607999999999999,22.04475,0.1105,76.18364780493776,71.76178991539446,79.97470613432617
